iter	Passed	Remaining
0	211	211144
1	258	128785
2	283	94053
3	299	74658
4	316	62968
5	333	55247
6	350	49772
7	367	45523
8	383	42186
9	397	39322
10	409	36846
11	422	34803
12	438	33317
13	459	32384
14	471	30987
15	488	30030
16	504	29193
17	519	28357
18	534	27597
19	551	27043
20	573	26736
21	599	26643
22	621	26387
23	643	26188
24	671	26183
25	690	25873
26	706	25461
27	722	25091
28	737	24696
29	752	24333
30	766	23952
31	779	23581
32	793	23264
33	806	22919
34	819	22590
35	831	22277
36	849	22106
37	870	22043
38	894	22041
39	919	22058
40	944	22080
41	969	22110
42	990	22049
43	1010	21965
44	1028	21830
45	1045	21691
46	1061	21532
47	1076	21347
48	1091	21174
49	1106	21017
50	1124	20927
51	1137	20739
52	1150	20563
53	1162	20371
54	1177	20229
55	1192	20094
56	1205	19937
57	1218	19790
58	1230	19620
59	1244	19492
60	1257	19361
61	1274	19281
62	1291	19214
63	1311	19174
64	1333	19178
65	1351	19132
66	1367	19037
67	1384	18972
68	1402	18926
69	1422	18902
70	1437	18809
71	1452	18721
72	1468	18647
73	1485	18594
74	1500	18506
75	1518	18456
76	1536	18414
77	1555	18385
78	1569	18299
79	1583	18206
80	1597	18126
81	1609	18017
82	1622	17925
83	1634	17821
84	1647	17734
85	1660	17644
86	1673	17558
87	1686	17478
88	1701	17413
89	1713	17326
90	1724	17228
91	1742	17193
92	1760	17170
93	1774	17102
94	1788	17041
95	1804	16992
96	1822	16967
97	1838	16923
98	1854	16876
99	1869	16825
100	1888	16805
101	1906	16787
102	1937	16875
103	1974	17013
104	2001	17062
105	2018	17025
106	2031	16954
107	2046	16898
108	2061	16847
109	2077	16808
110	2095	16779
111	2112	16747
112	2131	16728
113	2146	16685
114	2168	16687
115	2196	16739
116	2217	16737
117	2236	16714
118	2249	16656
119	2262	16589
120	2276	16536
121	2291	16491
122	2306	16444
123	2320	16394
124	2337	16361
125	2351	16307
126	2365	16257
127	2376	16191
128	2390	16138
129	2417	16175
130	2450	16254
131	2469	16240
132	2488	16221
133	2503	16181
134	2522	16160
135	2538	16129
136	2556	16105
137	2574	16080
138	2591	16050
139	2612	16046
140	2631	16029
141	2650	16015
142	2741	16429
143	2776	16503
144	2791	16463
145	2806	16416
146	2819	16358
147	2832	16306
148	2851	16284
149	2872	16274
150	2891	16255
151	2906	16217
152	2922	16177
153	2947	16192
154	2967	16178
155	3000	16232
156	3027	16253
157	3049	16248
158	3063	16204
159	3077	16159
160	3096	16134
161	3112	16102
162	3126	16054
163	3142	16019
164	3155	15971
165	3169	15923
166	3184	15885
167	3198	15841
168	3211	15791
169	3225	15750
170	3244	15731
171	3262	15705
172	3283	15695
173	3313	15727
174	3341	15753
175	3367	15766
176	3387	15749
177	3404	15720
178	3423	15702
179	3437	15660
180	3450	15614
181	3466	15578
182	3478	15531
183	3492	15487
184	3506	15448
185	3524	15423
186	3542	15402
187	3558	15370
188	3578	15357
189	3595	15327
190	3610	15293
191	3626	15263
192	3642	15232
193	3660	15208
194	3675	15174
195	3692	15146
196	3707	15111
197	3721	15074
198	3738	15047
199	3754	15018
200	3767	14974
201	3781	14939
202	3796	14907
203	3815	14886
204	3831	14857
205	3852	14847
206	3867	14815
207	3884	14791
208	3900	14762
209	3919	14743
210	3939	14731
211	3957	14708
212	3971	14672
213	3985	14638
214	3999	14601
215	4012	14565
216	4025	14526
217	4037	14482
218	4049	14441
219	4060	14396
220	4076	14369
221	4091	14339
222	4106	14308
223	4119	14272
224	4135	14244
225	4151	14218
226	4171	14204
227	4189	14186
228	4206	14162
229	4220	14130
230	4236	14102
231	4250	14070
232	4263	14036
233	4276	14000
234	4291	13968
235	4303	13932
236	4316	13895
237	4330	13865
238	4342	13828
239	4360	13809
240	4376	13783
241	4393	13760
242	4406	13727
243	4418	13689
244	4430	13654
245	4443	13619
246	4456	13587
247	4469	13553
248	4481	13517
249	4541	13625
250	4583	13677
251	4631	13748
252	4653	13740
253	4665	13702
254	4678	13668
255	4692	13638
256	4706	13607
257	4720	13576
258	4732	13539
259	4746	13508
260	4758	13474
261	4771	13439
262	4782	13402
263	4795	13368
264	4809	13339
265	4824	13313
266	4842	13293
267	4856	13263
268	4872	13240
269	4888	13217
270	4904	13192
271	4919	13168
272	4935	13143
273	4950	13116
274	4965	13090
275	4986	13080
276	5002	13056
277	5018	13033
278	5036	13015
279	5057	13004
280	5072	12977
281	5087	12953
282	5102	12927
283	5118	12905
284	5136	12885
285	5151	12861
286	5169	12842
287	5221	12909
288	5256	12932
289	5282	12934
290	5300	12913
291	5321	12901
292	5347	12903
293	5370	12896
294	5404	12916
295	5434	12924
296	5453	12907
297	5469	12884
298	5489	12869
299	5506	12847
300	5523	12826
301	5538	12801
302	5555	12778
303	5570	12752
304	5585	12727
305	5599	12700
306	5614	12674
307	5630	12650
308	5647	12630
309	5664	12607
310	5680	12584
311	5701	12571
312	5719	12552
313	5734	12528
314	5752	12508
315	5768	12487
316	5784	12463
317	5800	12440
318	5814	12413
319	5831	12392
320	5846	12367
321	5863	12345
322	5877	12319
323	5896	12302
324	5914	12284
325	5933	12266
326	5950	12246
327	5966	12223
328	5981	12199
329	5998	12179
330	6014	12156
331	6030	12133
332	6052	12123
333	6073	12109
334	6094	12097
335	6114	12083
336	6143	12087
337	6164	12074
